FID	U_DN_PPM	POINT_X	POINT_Y
1177	4,4	-76,7122	35,0924
1178	1,6	-77,5729	35,0928
1186	2,9	-77,9431	35,0954
1194	8,2	-78,2527	35,097
1195	5,1	-78,2232	35,0972
1196	1,6	-77,1071	35,0972
1198	2,4	-77,8198	35,0977
1199	3,7	-78,0101	35,0982
1210	2	-77,6303	35,1012
1215	9	-78,4734	35,1031
1222	2,4	-77,6688	35,1041
1225	6,4	-77,5012	35,1042
1226	3,1	-77,412	35,1042
1227	18,1	-78,6233	35,1043
1236	3,7	-77,723	35,1063
1243	5,9	-78,1838	35,1083
1244	1,6	-77,2113	35,1099
1245	3,3	-77,33	35,11
1251	8,1	-78,3442	35,1118
1253	5,6	-76,8506	35,1124
1267	13,5	-78,123	35,1182
1274	6,4	-77,3961	35,1207
1278	7,7	-76,7103	35,1212
1279	3	-78,3782	35,1213
1280	4,4	-77,8243	35,1213
1284	8	-78,5977	35,1221
1302	2,5	-77,4565	35,1268
1303	9,9	-78,1476	35,1269
1305	3,7	-78,0425	35,127
1306	3,3	-77,5855	35,127
1310	12,8	-78,5262	35,1274
1320	3,5	-77,8728	35,1302
1326	4,1	-78,4805	35,1322
1330	4	-77,3383	35,1329
1336	2,9	-77,9426	35,1342
1340	2,6	-76,9408	35,136
1349	6,4	-78,0757	35,1402
1350	5,1	-78,1458	35,1405
1351	3	-77,2412	35,1413
1352	2,5	-77,2182	35,1414
1353	1,9	-77,6686	35,1418
1364	6,5	-77,5086	35,1443
1366	1,2	-77,7582	35,1447
1367	1,5	-77,6113	35,1449
1377	2,2	-76,8822	35,1476
1380	2	-76,994	35,1488
1384	5,5	-77,0303	35,1493
1389	1,8	-77,864	35,1507
1393	3,1	-77,7049	35,1517
1395	5,7	-78,3195	35,1525
1396	3,1	-77,5328	35,153
1409	4,3	-78,4398	35,1566
1412	3,5	-78,2643	35,1569
1413	4,5	-77,5762	35,157
1418	2,6	-77,146	35,1583
1435	3,3	-77,4904	35,1628
1436	1,9	-76,8328	35,1628
1440	4,2	-77,9798	35,1636
1441	2,4	-76,7927	35,1637
1443	1,8	-77,1831	35,1646
1445	7,2	-77,3306	35,1649
1449	5,4	-78,2102	35,1672
1451	16,3	-78,1321	35,1677
1453	2,8	-78,5868	35,1684
1454	6	-78,3	35,1684
1455	4	-78,1742	35,1688
1478	4,3	-78,136	35,1737
1479	1,7	-77,7821	35,1743
1484	4	-77,7	35,1758
1497	2,4	-76,7695	35,1784
1504	3,5	-76,9612	35,1806
1506	4,7	-77,9396	35,1808
1507	3,1	-77,8842	35,1809
1511	10,3	-77,1882	35,1814
1517	5,5	-78,4552	35,1824
1525	1,5	-77,2887	35,1833
1532	20,7	-78,4069	35,1847
1547	5,4	-78,0458	35,1877
1550	2,8	-77,7711	35,1881
1571	7,1	-77,3665	35,1924
1580	1,5	-77,1587	35,1931
1582	10,7	-78,5741	35,1932
1619	3	-77,4725	35,1998
1620	3,9	-78,007	35,2001
1632	6,1	-78,3038	35,2014
1640	2	-77,8172	35,2035
1642	10,2	-78,3599	35,2038
1667	1,6	-77,7542	35,2086
1675	1,7	-77,2801	35,2094
1680	3,1	-77,5422	35,21
1692	5,2	-78,5425	35,2136
1693	3,1	-77,1827	35,2137
1694	4,8	-77,6825	35,2141
1695	3,3	-77,966	35,2143
1708	2,3	-78,2508	35,2165
1712	2	-76,993	35,2172
1717	2,9	-78,1209	35,2185
1721	10,6	-77,4248	35,2194
1729	4,6	-77,4763	35,221
1746	12	-77,8413	35,2234
1752	1,3	-77,2149	35,2257
1757	6,4	-78,2048	35,2272
1762	13	-78,5624	35,2287
1766	2,8	-77,3078	35,2294
1787	6,6	-78,3132	35,2321
1813	1,7	-77,0363	35,2361
1820	6,9	-78,1524	35,2372
1824	3,9	-78,0414	35,2374
1831	2	-76,9815	35,2392
1836	5,9	-78,0697	35,2419
1837	5,9	-77,5293	35,2422
1840	3,4	-78,452	35,2431
1846	2,7	-77,8215	35,2455
1849	0,9	-77,0668	35,246
1853	6,8	-77,4188	35,2472
1861	2,8	-78,5383	35,2491
1868	10,2	-77,1451	35,2503
1873	14,6	-77,9543	35,2513
1887	3,2	-77,701	35,2532
1891	4,7	-78,262	35,2542
1892	4,1	-77,9118	35,2542
1899	1	-76,8672	35,2564
1907	3	-78,5279	35,2575
1917	4,6	-77,3329	35,2599
1928	1,7	-77,0039	35,2612
1932	4,5	-76,8115	35,2615
1933	22,9	-77,9955	35,2622
1945	1,7	-77,4124	35,2641
1946	2,5	-77,805	35,2645
1948	5,4	-78,1581	35,2649
1964	3,9	-76,9619	35,2676
1967	8,7	-77,1523	35,2681
1978	2,9	-77,1107	35,2699
1986	2,6	-78,4215	35,2716
1993	6,4	-78,2148	35,2737
1994	2,8	-76,9017	35,2738
2001	4,9	-78,3752	35,2753
2024	9,5	-78,085	35,2797
2037	7,4	-77,8686	35,2822
2042	3,4	-76,7907	35,2838
2044	2,6	-78,4497	35,2843
2055	4,7	-78,2553	35,2863
2058	11,6	-76,5597	35,2867
2062	10,6	-78,4969	35,287
2075	2,6	-77,9876	35,29
2079	6	-77,8043	35,2908
2080	3,7	-78,3256	35,2909
2083	3,4	-78,3644	35,2913
2090	2,6	-76,6819	35,294
2114	8,5	-77,4209	35,2978
2116	5,2	-78,1317	35,2988
2117	1,7	-76,8808	35,2993
2124	4,8	-77,6957	35,3022
2150	4,2	-78,3318	35,3077
2154	2,9	-77,5686	35,3085
2161	3,9	-76,7126	35,3104
2170	2,6	-77,7714	35,3117
2173	3,2	-77,827	35,3123
2177	1,6	-77,619	35,3126
2195	2,4	-78,484	35,3158
2197	3,6	-78,038	35,3163
2198	2,4	-77,8138	35,3167
2205	5,8	-77,5317	35,3173
2208	2,3	-78,0097	35,3178
2216	14,4	-78,1105	35,3188
2235	3,1	-76,6576	35,3216
2245	6,4	-77,6752	35,3232
2247	4,2	-77,4119	35,324
2250	5,2	-78,4516	35,3244
2251	6,8	-76,8192	35,3244
2253	10,9	-77,2995	35,3259
2255	3,6	-76,8631	35,3261
2273	9,2	-77,9516	35,3292
2281	6,2	-78,1485	35,3308
2287	3	-78,1924	35,3326
2288	3,5	-78,6273	35,3327
2289	6,5	-78,2826	35,3329
2290	4,5	-78,5226	35,3333
2300	2,1	-76,9521	35,3344
2301	2,9	-77,7147	35,3347
2307	4,4	-77,2267	35,3358
2309	5,4	-78,3077	35,3359
2317	7,6	-78,2621	35,3374
2328	3,1	-77,5976	35,34
2335	8,8	-77,9033	35,3413
2353	3,4	-77,572	35,3429
2358	8,4	-78,3778	35,3444
2359	2,2	-77,7385	35,3444
2379	1,9	-78,283	35,3466
2382	2,2	-76,8957	35,3468
2393	3,3	-76,8344	35,3497
2402	2,4	-77,7683	35,3518
2423	3,9	-77,3593	35,3555
2432	1,9	-78,4404	35,3569
2435	4	-77,7963	35,3573
2442	4,3	-77,4429	35,3595
2444	8,1	-78,3944	35,3603
2452	1,9	-76,8709	35,361
2479	4,6	-78,4759	35,3654
2490	3	-77,5918	35,368
2491	4,1	-78,1977	35,3683
2514	3	-77,786	35,3735
2515	1,4	-76,9469	35,3735
2521	3,3	-77,1456	35,3752
2522	2,9	-77,5087	35,3753
2528	2,9	-76,9826	35,3759
2530	8,6	-78,3055	35,3763
2539	10,8	-77,3055	35,3777
2540	15,3	-77,3055	35,3777
2542	3,9	-77,3923	35,3779
2545	5,2	-78,5141	35,3781
2558	17,8	-77,8712	35,3807
2562	4,4	-77,5515	35,3814
2573	3,3	-77,1871	35,3837
2579	4,5	-78,3985	35,3843
2582	9,5	-78,3529	35,3844
2588	3,1	-78,3801	35,3851
2597	3,7	-78,5637	35,3866
2612	2,9	-76,8956	35,3893
2628	3,2	-78,1384	35,3913
2639	3,8	-78,0306	35,3934
2645	1	-77,1173	35,3942
2646	1,3	-77,6744	35,3943
2647	1,8	-78,1767	35,3944
2652	3,8	-78,4587	35,3951
2659	6,2	-78,1888	35,3963
2664	3	-77,3557	35,3972
2671	3,9	-78,5262	35,3983
2704	8,5	-78,4632	35,4055
2705	4,9	-78,3694	35,4055
2718	5,4	-78,2469	35,4077
2719	2,5	-77,5086	35,4077
2720	3,3	-77,0147	35,4077
2722	3,9	-77,5756	35,4083
2732	15,6	-77,8819	35,4098
2739	4,4	-77,6325	35,4121
2744	2,7	-77,724	35,413
2752	4	-78,5416	35,4139
2761	9,1	-78,088	35,4157
2772	3,6	-78,4124	35,4181
2783	2,9	-78,5746	35,4193
2790	3,1	-77,9509	35,4204
2798	3,9	-77,3764	35,4222
2807	5,3	-78,4799	35,4231
2829	3	-76,479	35,4254
2836	3,5	-77,3365	35,4271
2840	4,4	-78,5325	35,428
2856	5,1	-78,128	35,4304
2874	3,7	-77,1646	35,433
2878	2,3	-78,3879	35,4338
2881	9,7	-78,5092	35,4342
2884	3,7	-77,4241	35,4344
2890	1,5	-76,9303	35,4351
2891	7,8	-78,2234	35,4352
2894	3,1	-77,8005	35,4364
2895	3,9	-78,3719	35,4373
2909	3	-77,0452	35,4396
2910	2,9	-77,5678	35,4397
2914	2,9	-77,0912	35,4405
2934	12,2	-77,6019	35,4434
2937	1,7	-78,2059	35,4439
2938	2,4	-76,4884	35,4442
2944	2,3	-78,1387	35,4447
2945	2,6	-77,7634	35,4447
2965	3,5	-77,0163	35,4483
2968	3,3	-78,3019	35,4486
2973	4,4	-78,5855	35,4494
2980	0	-78,024	35,4504
2991	3,1	-77,2233	35,4522
2995	3,4	-78,2511	35,4528
3001	2,7	-76,6821	35,4536
3004	4,4	-78,4482	35,4542
3017	4,2	-77,8937	35,4565
3018	3,7	-77,701	35,4571
3037	3,7	-78,4773	35,4601
3045	3,4	-77,8418	35,462
3050	0,7	-78,5964	35,4633
3052	2,5	-78,2312	35,4636
3067	3,4	-77,2509	35,4668
3071	1,8	-77,0898	35,4671
3072	6,1	-76,6317	35,4671
3078	5,7	-78,5642	35,4677
3080	2,6	-77,2986	35,4682
3083	2,4	-78,3325	35,4693
3085	2,6	-78,0444	35,4698
3086	3,4	-77,5698	35,4698
3091	2,8	-77,5389	35,4707
3098	3,2	-77,355	35,4711
3103	3,4	-76,883	35,473
3107	5,7	-78,1859	35,4735
3112	10,4	-77,4717	35,474
3117	1,1	-78,2769	35,4752
3118	2,4	-77,7376	35,4752
3129	3,4	-76,669	35,4765
3136	2,9	-77,9111	35,4783
3140	4,3	-77,6481	35,4801
3144	2,5	-78,3444	35,481
3149	3,8	-78,2451	35,4821
3154	2,8	-78,1101	35,4829
3155	3	-77,9637	35,4829
3158	2,1	-76,474	35,4833
3169	4,6	-78,6259	35,4854
3170	4,8	-77,7903	35,4854
3173	3,8	-78,5828	35,4862
3198	5,1	-78,5534	35,489
3205	2,2	-78,4031	35,4896
3206	3,5	-76,7216	35,4899
3209	2	-77,8404	35,49
3216	1,4	-78,5036	35,4919
3224	2,1	-77,6938	35,4934
3226	3,5	-78,4586	35,4941
3234	3,7	-78,5263	35,4954
3235	3,4	-76,8291	35,4956
3239	3,4	-77,1656	35,4965
3244	2	-76,7598	35,4971
3248	3,5	-77,4892	35,498
3259	17,8	-78,2295	35,5012
3267	3,4	-78,5969	35,5025
3269	3,1	-78,616	35,5035
3270	4,3	-77,0879	35,5036
3277	16,3	-78,1132	35,5061
3282	4	-77,3117	35,507
3292	4	-77,6283	35,5086
3293	2,1	-77,7161	35,5095
3310	1,6	-76,8896	35,5118
3317	1,9	-77,9824	35,5124
3332	4,5	-77,4337	35,5147
3334	2,5	-78,1786	35,5155
3335	3,3	-78,4703	35,5156
3344	2,7	-78,1966	35,5173
3347	2,2	-76,6726	35,5176
3353	4,4	-78,052	35,5182
3355	3,5	-77,8792	35,5193
3361	2,8	-77,2366	35,5202
3371	3	-77,8005	35,5223
3376	2,8	-76,8095	35,5233
3386	2,3	-78,135	35,5246
3387	0,5	-78,5418	35,5248
3410	2	-78,4385	35,5286
3412	1,5	-77,5048	35,5292
3414	1,5	-78,2578	35,5294
3419	2,8	-77,5622	35,5302
3426	3,9	-76,9884	35,5312
3432	4,8	-77,6553	35,5318
3436	2,6	-77,134	35,5329
3441	2,3	-78,4986	35,5335
3444	4,1	-77,2275	35,534
3445	2,5	-77,1872	35,534
3451	3,1	-78,2258	35,5348
3492	3,2	-78,1422	35,5421
3493	2,6	-78,5658	35,5422
3501	2,5	-76,8473	35,5436
3512	2,5	-78,2942	35,5457
3516	1,8	-77,0232	35,5463
3522	3	-77,7412	35,5473
3523	3,6	-77,9148	35,5475
3530	5,5	-78,0609	35,5494
3531	3,3	-78,4741	35,5497
3535	2,7	-78,5212	35,551
3536	4,5	-77,8287	35,5511
3537	3,2	-76,7059	35,5513
3550	1,4	-78,2193	35,5531
3551	2,8	-76,9583	35,5532
3552	7,8	-78,5902	35,5535
3553	3,3	-77,3785	35,5535
3567	1,7	-76,9209	35,5574
3568	2	-78,3999	35,5581
3570	3,4	-77,3246	35,5583
3574	4,4	-78,0217	35,5592
3582	3,4	-76,5843	35,5601
3588	0,6	-77,271	35,5607
3591	5,3	-78,1271	35,5615
3605	1,8	-78,3728	35,5638
3609	2,4	-77,5718	35,5644
3612	3	-78,2466	35,5645
3620	2,9	-78,3011	35,5657
3629	1,7	-78,4584	35,5673
3632	4,2	-78,081	35,5675
3635	2,8	-77,4836	35,5677
3639	3,5	-77,8802	35,5685
3662	5,6	-76,7637	35,5723
3665	5,6	-77,8071	35,5731
3670	8,2	-78,5125	35,5737
3681	7,8	-78,4274	35,5761
3682	3,4	-76,9305	35,5764
3685	1,7	-77,3244	35,5767
3690	5,4	-78,4851	35,578
3692	20,8	-78,0497	35,5784
3699	2,8	-77,7638	35,5798
3705	3,2	-77,6337	35,5822
3706	8,6	-78,0775	35,5827
3711	1,2	-78,3669	35,5836
3712	7,2	-77,9761	35,5838
3715	3,9	-77,0056	35,5847
3717	2,1	-78,1371	35,5851
3719	1,8	-76,4849	35,5854
3722	3,4	-77,9329	35,5857
3725	1,8	-76,839	35,5862
3729	2,2	-77,0637	35,5863
3733	2,4	-76,8686	35,5876
3742	2,6	-78,3526	35,5886
3749	3	-78,3977	35,5894
3753	1,9	-77,4097	35,5901
3757	3,1	-77,8907	35,591
3759	0	-77,8445	35,5913
3760	7	-77,8445	35,5913
3768	3	-78,5876	35,5923
3769	2,2	-78,2375	35,5928
3773	1,5	-77,5265	35,593
3782	4,7	-78,164	35,5941
3792	3,2	-77,7967	35,595
3801	3,1	-77,8741	35,5966
3806	3	-78,0129	35,5975
3815	1,7	-77,1097	35,5999
3829	3,5	-76,7306	35,6029
3833	2,1	-77,683	35,6043
3835	1,6	-76,5322	35,6051
3842	2,8	-78,4679	35,606
3849	2,6	-77,9526	35,6069
3855	6,4	-78,0559	35,6079
3856	2,7	-77,5488	35,6079
3866	2,6	-77,5081	35,6087
3880	3,1	-77,709	35,6112
3888	4	-78,5477	35,612
3895	2,3	-78,2328	35,6132
3897	4,2	-77,9215	35,6134
3899	2,8	-77,6483	35,6139
3910	2,8	-78,15	35,6159
3916	2,3	-78,4447	35,6183
3917	4,5	-78,2917	35,6184
3927	4,2	-77,9941	35,6204
3928	2,9	-78,1266	35,6206
3934	5,6	-77,422	35,6216
3962	2,6	-77,6063	35,6271
3968	5,2	-76,8548	35,6282
3974	3,7	-77,7999	35,6296
3976	1,6	-77,1078	35,6306
3981	2,7	-77,0598	35,6318
3986	2,4	-78,3184	35,6324
3994	1,4	-78,2528	35,6349
3996	11,5	-78,1018	35,6353
3997	6,5	-78,06	35,6355
3999	4,3	-77,2779	35,6357
4000	1,8	-78,4848	35,6359
4007	2,4	-78,521	35,6369
4009	1,6	-77,7549	35,6374
4039	0	-77,9299	35,6422
4040	26,5	-77,9299	35,6422
4044	4,8	-78,0283	35,6425
4046	25,3	-77,3471	35,6429
4047	2,1	-77,8097	35,643
4054	0	-77,9718	35,6449
4055	17,4	-77,9718	35,6449
4056	3,2	-78,1783	35,6452
4060	3	-77,5221	35,6456
4063	1,5	-77,0073	35,6468
4068	3,9	-77,8888	35,6474
4075	2,5	-78,404	35,6493
4076	3,6	-77,6779	35,6493
4081	1,8	-77,7068	35,6505
4086	6,1	-78,3682	35,652
4100	2,8	-77,8516	35,6539
4104	4,5	-78,4806	35,6545
4110	11,4	-78,0612	35,6559
4129	3,9	-77,552	35,6583
4132	4,1	-78,2942	35,6589
4138	2,1	-78,4434	35,6603
4141	3,2	-78,1587	35,6606
4142	6,3	-78,013	35,6614
4146	4,1	-78,5996	35,6625
4147	5,8	-77,996	35,6625
4149	2,7	-78,2453	35,6626
4151	2	-78,3383	35,6628
4161	2,4	-77,6338	35,6649
4162	6,3	-77,4005	35,6652
4170	2,5	-77,7222	35,6674
4178	3,2	-77,2648	35,6692
4179	5,8	-78,2096	35,6696
4180	2,2	-78,5494	35,6705
4198	2,1	-78,4196	35,6726
4207	2,2	-77,4385	35,6748
4208	3	-77,1531	35,6748
4221	3,3	-77,7867	35,6779
4222	1,8	-77,0752	35,6779
4227	32,4	-78,0999	35,679
4232	3,3	-78,1685	35,68
4236	33	-78,0612	35,6806
4244	2,4	-77,8243	35,6818
4245	1,6	-77,602	35,682
4249	1,4	-77,1244	35,6827
4252	2	-77,7616	35,6834
4259	2,8	-78,1329	35,6849
4264	5,8	-77,506	35,6855
4280	3,4	-77,4178	35,6894
4287	1,9	-78,3688	35,6912
4299	4	-78,4799	35,693
4308	4,8	-78,3432	35,6944
4311	4,5	-77,3488	35,6961
4322	3,2	-77,8168	35,6979
4327	4	-78,3002	35,6997
4336	2,7	-78,2082	35,7009
4344	3,9	-78,4168	35,7023
4349	3,4	-78,0487	35,7032
4350	2,4	-77,2085	35,7034
4359	24,5	-78,1064	35,7047
4365	2,1	-77,7902	35,7055
4366	5,1	-77,7577	35,7055
4370	7,2	-77,57	35,7063
4388	2,6	-78,2389	35,7123
4389	2,2	-77,9955	35,7124
4390	6	-77,9955	35,7124
4411	5,5	-78,3432	35,7156
4414	2,4	-77,5357	35,7163
4431	2,6	-76,9818	35,7189
4434	8	-78,1403	35,7195
4435	3,8	-78,5268	35,7196
4437	6,8	-77,0371	35,72
4442	4	-77,2472	35,7208
4444	3,4	-77,4813	35,7217
4445	1,7	-77,6387	35,722
4446	2,4	-77,3274	35,722
4450	3,3	-77,6926	35,7225
4453	4,1	-78,019	35,7233
4458	1,4	-77,5994	35,7236
4475	2	-76,9543	35,7261
4477	2,9	-78,2143	35,7267
4480	3,7	-78,5137	35,7271
4488	7,5	-78,478	35,7309
4490	4,5	-78,3082	35,731
4493	1,4	-78,2779	35,7318
4494	4,7	-78,168	35,7319
4496	27,4	-78,0979	35,7325
4513	1,9	-78,2296	35,7349
4531	2,2	-77,0676	35,7378
4542	1,8	-77,1237	35,7396
4544	57	-78,0763	35,7398
4550	3,1	-77,8911	35,7422
4573	3,9	-77,2984	35,7468
4576	8,7	-78,4922	35,7472
4577	4,4	-78,467	35,7472
4578	1,4	-77,7077	35,7472
4582	2,8	-77,3863	35,7475
4583	4,9	-77,8145	35,7481
4585	5,1	-78,3598	35,7483
4587	5,9	-78,5354	35,7498
4591	7,6	-78,2965	35,7508
4596	1,9	-77,9596	35,7515
4604	6	-78,4127	35,7531
4608	4,1	-77,1623	35,7535
4611	1,7	-78,1659	35,7542
4622	2,1	-77,6705	35,7573
4631	2,6	-76,9236	35,7595
4632	1,7	-76,9236	35,7595
4633	4,1	-77,8602	35,7597
4637	2,4	-77,7809	35,7601
4651	3,3	-77,5526	35,7617
4660	13	-78,2437	35,7639
4677	2,1	-77,0229	35,7671
4679	3,3	-77,4931	35,7674
4699	3,9	-78,3123	35,7698
4702	3	-78,2043	35,771
4703	3,3	-77,7486	35,7715
4714	6,8	-77,8326	35,7737
4716	2,8	-78,1607	35,774
4717	8,9	-78,3843	35,7741
4718	28,1	-78,0287	35,7741
4722	2,8	-77,4638	35,7753
